County,ST,State,GOP Share,Total Votes,Bachelor's+,Z-Score Index,Z Rank,Percentile Index,P Rank,RESI,RESI Rank,GOP Pctile,Vote Pctile,Edu Pctile,GOP z,Vote z,Edu z
Montgomery,TX,Texas,72.24,307258,38.79,0.651389,1,0.540960,80,71323.4,1,0.560,0.966,0.897,0.3521,1.8501,1.3558
Baldwin,AL,Alabama,78.36,122249,33.69,0.386695,2,0.665388,12,42584.3,5,0.732,0.909,0.830,0.7384,0.5237,0.8621
Parker,TX,Texas,82.75,90840,32.33,0.303006,3,0.762912,2,40738.0,6,0.864,0.883,0.806,1.0150,0.2985,0.7309
Mohave,AZ,Arizona,77.41,110693,15.22,0.298900,4,0.636300,20,36353.4,8,0.707,0.900,0.137,0.6780,0.4408,-0.9258
Santa Rosa,FL,Florida,75.00,112425,31.97,0.238391,5,0.576114,49,31610.6,10,0.638,0.903,0.799,0.5259,0.4533,0.6957
Washington,UT,Utah,75.23,97256,35.22,0.186270,6,0.575830,50,27773.2,17,0.647,0.890,0.853,0.5407,0.3445,1.0102
Utah,UT,Utah,68.25,298143,44.39,0.178803,7,0.441005,271,50680.6,3,0.457,0.965,0.942,0.1002,1.7847,1.8975
St. Tammany,LA,Louisiana,71.09,138384,37.67,0.178707,8,0.484704,179,29498.8,15,0.528,0.918,0.884,0.2795,0.6394,1.2472
Kootenai,ID,Idaho,74.78,96365,29.95,0.173171,9,0.557403,71,26701.7,19,0.627,0.889,0.756,0.5121,0.3381,0.5003
Horry,SC,South Carolina,68.81,205954,27.15,0.152522,10,0.442736,268,36688.3,7,0.469,0.944,0.687,0.1357,1.1238,0.2289
Anderson,SC,South Carolina,73.07,98296,26.48,0.142420,11,0.521512,100,24220.8,25,0.584,0.893,0.668,0.4046,0.3520,0.1646
Bay,FL,Florida,73.12,97777,29.64,0.141999,12,0.522712,97,24177.1,26,0.586,0.892,0.749,0.4077,0.3482,0.4702
Randolph,NC,North Carolina,78.09,76008,17.89,0.138632,13,0.625220,25,26044.4,20,0.727,0.860,0.266,0.7214,0.1922,-0.6677
Comal,TX,Texas,72.23,103491,43.35,0.136891,14,0.502320,137,24012.8,28,0.560,0.897,0.937,0.3517,0.3892,1.7969
Smith,TX,Texas,72.07,103879,28.59,0.133720,15,0.498732,147,23810.0,30,0.556,0.897,0.724,0.3411,0.3920,0.3684
Citrus,FL,Florida,72.64,98237,20.62,0.132565,16,0.509332,123,23465.3,33,0.571,0.892,0.415,0.3771,0.3515,-0.4034
Livingston,LA,Louisiana,83.61,65906,20.54,0.128038,17,0.749556,3,30962.3,11,0.886,0.846,0.411,1.0692,0.1198,-0.4104
Canyon,ID,Idaho,72.01,101030,23.24,0.125503,18,0.496725,152,23066.9,38,0.555,0.895,0.541,0.3378,0.3716,-0.1494
Cherokee,GA,Georgia,69.10,162281,41.15,0.124994,19,0.444087,263,29608.3,14,0.477,0.931,0.920,0.1542,0.8107,1.5841
Sullivan,TN,Tennessee,76.98,75541,26.84,0.122995,20,0.598723,31,24160.3,27,0.697,0.859,0.677,0.6513,0.1888,0.1988
Johnson,TX,Texas,75.26,80721,25.22,0.122638,21,0.559008,68,23100.8,37,0.647,0.864,0.625,0.5427,0.2260,0.0419
Davidson,NC,North Carolina,72.72,93452,21.69,0.121314,22,0.509450,122,22457.3,41,0.575,0.886,0.474,0.3824,0.3172,-0.2991
Hall,GA,Georgia,71.58,101973,27.29,0.117415,23,0.486528,174,22548.1,40,0.543,0.896,0.692,0.3103,0.3783,0.2426
Okaloosa,FL,Florida,70.67,113636,34.82,0.116941,24,0.465560,218,23465.4,32,0.515,0.904,0.849,0.2531,0.4619,0.9714
Randall,TX,Texas,79.69,66901,33.68,0.104325,25,0.653884,15,25229.2,23,0.772,0.847,0.829,0.8222,0.1269,0.8615
Ocean,NJ,New Jersey,67.40,337135,34.42,0.096506,26,0.427240,317,53301.2,2,0.440,0.971,0.842,0.0468,2.0643,0.9323
Clay,FL,Florida,69.17,126811,28.26,0.088002,27,0.435458,289,23255.7,36,0.478,0.911,0.716,0.1582,0.5564,0.3365
Lubbock,TX,Texas,69.22,125038,33.44,0.087702,28,0.437280,282,23023.3,39,0.480,0.911,0.824,0.1613,0.5437,0.8381
Shelby,AL,Alabama,69.46,114698,46.84,0.082873,29,0.439344,278,21532.8,46,0.486,0.904,0.956,0.1765,0.4696,2.1355
Sumner,TN,Tennessee,70.34,97761,33.57,0.080877,30,0.451737,240,19679.6,51,0.507,0.891,0.828,0.2323,0.3481,0.8506
Grayson,TX,Texas,76.70,65915,23.88,0.075893,31,0.582048,44,20705.3,48,0.688,0.846,0.567,0.6334,0.1198,-0.0874
Franklin,PA,Pennsylvania,71.06,83884,24.73,0.068954,32,0.458490,230,17834.6,68,0.527,0.870,0.604,0.2773,0.2486,-0.0052
Blount,TN,Tennessee,73.24,69224,28.63,0.059586,33,0.502941,136,17258.0,73,0.591,0.851,0.726,0.4151,0.1435,0.3726
Rankin,MS,Mississippi,73.04,69678,33.48,0.059135,34,0.496133,153,17134.5,74,0.583,0.851,0.826,0.4028,0.1468,0.8414
Midland,TX,Texas,79.83,58808,31.03,0.057208,35,0.644800,17,22353.6,42,0.775,0.832,0.777,0.8307,0.0689,0.6051
Sumter,FL,Florida,68.56,105218,35.33,0.048061,36,0.416672,343,18353.6,62,0.464,0.898,0.855,0.1197,0.4016,1.0207
Nassau,FL,Florida,73.06,65625,35.56,0.047538,37,0.492635,163,16154.3,84,0.583,0.845,0.857,0.4037,0.1177,1.0431
Pickens,SC,South Carolina,75.64,60451,28.54,0.045718,38,0.550924,75,17741.5,69,0.659,0.836,0.723,0.5669,0.0806,0.3636
Schuylkill,PA,Pennsylvania,70.60,73184,19.89,0.042699,39,0.438784,280,15024.2,96,0.512,0.857,0.375,0.2483,0.1719,-0.4741
