fips,name,income
01001,"Autauga County, Alabama",72481
01003,"Baldwin County, Alabama",78775
01005,"Barbour County, Alabama",46042
01007,"Bibb County, Alabama",52541
01009,"Blount County, Alabama",64190
01011,"Bullock County, Alabama",31310
01013,"Butler County, Alabama",44755
01015,"Calhoun County, Alabama",55029
01017,"Chambers County, Alabama",49656
01019,"Cherokee County, Alabama",53863
01021,"Chilton County, Alabama",65603
01023,"Choctaw County, Alabama",47813
01025,"Clarke County, Alabama",49249
01027,"Clay County, Alabama",55250
01029,"Cleburne County, Alabama",55345
01031,"Coffee County, Alabama",68353
01033,"Colbert County, Alabama",60628
01035,"Conecuh County, Alabama",41327
01037,"Coosa County, Alabama",57355
01039,"Covington County, Alabama",52456
01041,"Crenshaw County, Alabama",48560
01043,"Cullman County, Alabama",62656
01045,"Dale County, Alabama",54963
01047,"Dallas County, Alabama",35627
01049,"DeKalb County, Alabama",51204
01051,"Elmore County, Alabama",78243
01053,"Escambia County, Alabama",48225
01055,"Etowah County, Alabama",54563
01057,"Fayette County, Alabama",49488
01059,"Franklin County, Alabama",53338
01061,"Geneva County, Alabama",52771
01063,"Greene County, Alabama",29200
01065,"Hale County, Alabama",39250
01067,"Henry County, Alabama",59931
01069,"Houston County, Alabama",58626
01071,"Jackson County, Alabama",51908
01073,"Jefferson County, Alabama",66388
01075,"Lamar County, Alabama",50000
01077,"Lauderdale County, Alabama",62649
01079,"Lawrence County, Alabama",66071
01081,"Lee County, Alabama",65824
01083,"Limestone County, Alabama",83629
01085,"Lowndes County, Alabama",37052
01087,"Macon County, Alabama",43707
01089,"Madison County, Alabama",86499
01091,"Marengo County, Alabama",43825
01093,"Marion County, Alabama",50088
01095,"Marshall County, Alabama",62571
01097,"Mobile County, Alabama",58880
01099,"Monroe County, Alabama",42292
01101,"Montgomery County, Alabama",59386
01103,"Morgan County, Alabama",68845
01105,"Perry County, Alabama",37654
01107,"Pickens County, Alabama",46274
01109,"Pike County, Alabama",48677
01111,"Randolph County, Alabama",52338
01113,"Russell County, Alabama",51197
01115,"St. Clair County, Alabama",77463
01117,"Shelby County, Alabama",97961
01119,"Sumter County, Alabama",33310
01121,"Talladega County, Alabama",57776
01123,"Tallapoosa County, Alabama",59356
01125,"Tuscaloosa County, Alabama",66231
01127,"Walker County, Alabama",56509
01129,"Washington County, Alabama",61042
01131,"Wilcox County, Alabama",40640
01133,"Winston County, Alabama",57256
02013,"Aleutians East Borough, Alaska",65365
02016,"Aleutians West Census Area, Alaska",135500
02020,"Anchorage Municipality, Alaska",103284
02050,"Bethel Census Area, Alaska",73996
02060,"Bristol Bay Borough, Alaska",95625
02063,"Chugach Census Area, Alaska",90509
02066,"Copper River Census Area, Alaska",79250
02068,"Denali Borough, Alaska",80781
02070,"Dillingham Census Area, Alaska",78533
02090,"Fairbanks North Star Borough, Alaska",88267
02100,"Haines Borough, Alaska",86927
02105,"Hoonah-Angoon Census Area, Alaska",61406
02110,"Juneau City and Borough, Alaska",101661
02122,"Kenai Peninsula Borough, Alaska",80538
02130,"Ketchikan Gateway Borough, Alaska",92885
02150,"Kodiak Island Borough, Alaska",86250
02158,"Kusilvak Census Area, Alaska",51471
02164,"Lake and Peninsula Borough, Alaska",65625
02170,"Matanuska-Susitna Borough, Alaska",94031
02180,"Nome Census Area, Alaska",78681
02185,"North Slope Borough, Alaska",95694
02188,"Northwest Arctic Borough, Alaska",84018
02195,"Petersburg Borough, Alaska",75125
02198,"Prince of Wales-Hyder Census Area, Alaska",61156
02220,"Sitka City and Borough, Alaska",101727
02230,"Skagway Municipality, Alaska",81136
02240,"Southeast Fairbanks Census Area, Alaska",73882
02275,"Wrangell City and Borough, Alaska",63750
02282,"Yakutat City and Borough, Alaska",85000
02290,"Yukon-Koyukuk Census Area, Alaska",55741
04001,"Apache County, Arizona",41438
04003,"Cochise County, Arizona",59742
04005,"Coconino County, Arizona",72966
04007,"Gila County, Arizona",61986
04009,"Graham County, Arizona",67325
04011,"Greenlee County, Arizona",71164
04012,"La Paz County, Arizona",49478
04013,"Maricopa County, Arizona",89300
04015,"Mohave County, Arizona",57684
04017,"Navajo County, Arizona",54606
04019,"Pima County, Arizona",70315
04021,"Pinal County, Arizona",80266
04023,"Santa Cruz County, Arizona",55217
04025,"Yavapai County, Arizona",69613
04027,"Yuma County, Arizona",62876
05001,"Arkansas County, Arkansas",53164
05003,"Ashley County, Arkansas",44266
05005,"Baxter County, Arkansas",48452
05007,"Benton County, Arkansas",93506
05009,"Boone County, Arkansas",55143
05011,"Bradley County, Arkansas",41476
05013,"Calhoun County, Arkansas",66809
05015,"Carroll County, Arkansas",54230
05017,"Chicot County, Arkansas",39045
05019,"Clark County, Arkansas",52034
05021,"Clay County, Arkansas",51481
05023,"Cleburne County, Arkansas",55798
05025,"Cleveland County, Arkansas",54794
05027,"Columbia County, Arkansas",55334
05029,"Conway County, Arkansas",54187
05031,"Craighead County, Arkansas",59548
05033,"Crawford County, Arkansas",64132
05035,"Crittenden County, Arkansas",55358
05037,"Cross County, Arkansas",50863
05039,"Dallas County, Arkansas",42500
05041,"Desha County, Arkansas",37662
05043,"Drew County, Arkansas",42824
05045,"Faulkner County, Arkansas",67289
05047,"Franklin County, Arkansas",55886
05049,"Fulton County, Arkansas",42241
05051,"Garland County, Arkansas",57181
05053,"Grant County, Arkansas",71549
05055,"Greene County, Arkansas",57839
05057,"Hempstead County, Arkansas",46787
05059,"Hot Spring County, Arkansas",55405
05061,"Howard County, Arkansas",45603
05063,"Independence County, Arkansas",56609
05065,"Izard County, Arkansas",49405
05067,"Jackson County, Arkansas",44218
05069,"Jefferson County, Arkansas",51096
05071,"Johnson County, Arkansas",45995
05073,"Lafayette County, Arkansas",41278
05075,"Lawrence County, Arkansas",44882
05077,"Lee County, Arkansas",34375
05079,"Lincoln County, Arkansas",51778
05081,"Little River County, Arkansas",53344
05083,"Logan County, Arkansas",58555
05085,"Lonoke County, Arkansas",72828
05087,"Madison County, Arkansas",56798
05089,"Marion County, Arkansas",48619
05091,"Miller County, Arkansas",48836
05093,"Mississippi County, Arkansas",52548
05095,"Monroe County, Arkansas",43214
05097,"Montgomery County, Arkansas",48906
05099,"Nevada County, Arkansas",53886
05101,"Newton County, Arkansas",48986
