fips,name,state,zhvi
06037,Los Angeles County,CA,885635
17031,Cook County,IL,344339
48201,Harris County,TX,280978
04013,Maricopa County,AZ,460237
06073,San Diego County,CA,934169
06059,Orange County,CA,1190239
36047,Kings County,NY,971639
12086,Miami-Dade County,FL,523890
48113,Dallas County,TX,310705
06065,Riverside County,CA,610513
36081,Queens County,NY,751364
53033,King County,WA,853410
32003,Clark County,NV,429593
06071,San Bernardino County,CA,553673
48439,Tarrant County,TX,324334
48029,Bexar County,TX,256204
06085,Santa Clara County,CA,1598562
12011,Broward County,FL,425778
26163,Wayne County,MI,179490
06001,Alameda County,CA,1062132
36061,New York County,NY,1254053
25017,Middlesex County,MA,825261
42101,Philadelphia County,PA,234557
06067,Sacramento County,CA,530397
36103,Suffolk County,NY,723980
12099,Palm Beach County,FL,474781
36005,Bronx County,NY,502648
12057,Hillsborough County,FL,380147
12095,Orange County,FL,403786
36059,Nassau County,NY,859466
39049,Franklin County,OH,298682
26125,Oakland County,MI,373377
27053,Hennepin County,MN,394800
48453,Travis County,TX,473077
39035,Cuyahoga County,OH,223376
42003,Allegheny County,PA,242847
49035,Salt Lake County,UT,574561
06013,Contra Costa County,CA,781899
51059,Fairfax County,VA,768424
37183,Wake County,NC,481361
37119,Mecklenburg County,NC,421920
24031,Montgomery County,MD,619247
13121,Fulton County,GA,420808
48085,Collin County,TX,483125
04019,Pima County,AZ,340858
15003,Honolulu County,HI,854605
06019,Fresno County,CA,409814
29189,Saint Louis County,MO,289872
36119,Westchester County,NY,886668
12031,Duval County,FL,296317
18097,Marion County,IN,232522
12103,Pinellas County,FL,374245
24033,Prince Georges County,MD,430494
09001,Fairfield County,CT,698391
34003,Bergen County,NJ,793874
36029,Erie County,NY,301755
13135,Gwinnett County,GA,408823
55079,Milwaukee County,WI,295794
17043,DuPage County,IL,446623
47157,Shelby County,TN,219859
53053,Pierce County,WA,572113
06029,Kern County,CA,364981
09003,Hartford County,CT,390975
48121,Denton County,TX,441522
26099,Macomb County,MI,274296
06075,San Francisco County,CA,1416641
48215,Hidalgo County,TX,191513
09009,New Haven County,CT,411328
48141,El Paso County,TX,233326
34023,Middlesex County,NJ,591891
25027,Worcester County,MA,504884
34013,Essex County,NJ,669040
42091,Montgomery County,PA,499755
24005,Baltimore County,MD,365669
06111,Ventura County,CA,883335
39061,Hamilton County,OH,271991
53061,Snohomish County,WA,746872
41051,Multnomah County,OR,506305
48157,Fort Bend County,TX,380844
25009,Essex County,MA,731630
25025,Suffolk County,MA,763194
40109,Oklahoma County,OK,224768
21111,Jefferson County,KY,268324
06077,San Joaquin County,CA,527766
13067,Cobb County,GA,427151
06081,San Mateo County,CA,1596366
13089,Dekalb County,GA,339016
36055,Monroe County,NY,295138
12071,Lee County,FL,337352
08041,El Paso County,CO,454073
25021,Norfolk County,MA,781743
17097,Lake County,IL,401229
29095,Jackson County,MO,251826
12105,Polk County,FL,298059
34017,Hudson County,NJ,651621
47037,Davidson County,TN,432558
08031,Denver County,CO,540198
17197,Will County,IL,379299
11001,District of Columbia,DC,577055
35001,Bernalillo County,NM,351856
01073,Jefferson County,AL,217176
40143,Tulsa County,OK,253998
44007,Providence County,RI,460038
26081,Kent County,MI,359960
08005,Arapahoe County,CO,510848
49049,Utah County,UT,546284
42017,Bucks County,PA,530927
34025,Monmouth County,NJ,790755
34029,Ocean County,NJ,552498
48339,Montgomery County,TX,347049
20091,Johnson County,KS,466397
12009,Brevard County,FL,344703
41067,Washington County,OR,564172
24510,Baltimore City,MD,186140
48491,Williamson County,TX,403016
24003,Anne Arundel County,MD,509641
08059,Jefferson County,CO,620991
31055,Douglas County,NE,298811
25005,Bristol County,MA,553616
42045,Delaware County,PA,369806
34039,Union County,NJ,636731
10003,New Castle County,DE,369618
55025,Dane County,WI,474814
12101,Pasco County,FL,331637
06099,Stanislaus County,CA,467986
42071,Lancaster County,PA,390027
27123,Ramsey County,MN,343915
12127,Volusia County,FL,327100
39153,Summit County,OH,230850
37081,Guilford County,NC,279047
39113,Montgomery County,OH,204465
42029,Chester County,PA,582402
53063,Spokane County,WA,429071
25023,Plymouth County,MA,657248
34007,Camden County,NJ,361570
34031,Passaic County,NJ,605390
20173,Sedgwick County,KS,227665
45045,Greenville County,SC,340295
17089,Kane County,IL,387210
08001,Adams County,CO,482406
34027,Morris County,NJ,717949
53011,Clark County,WA,551055
18089,Lake County,IN,254401
36085,Richmond County,NY,732730
06097,Sonoma County,CA,791825
19153,Polk County,IA,283019
16001,Ada County,ID,531026
32031,Washoe County,NV,574902
51153,Prince William County,VA,586907
47093,Knox County,TN,381776
36067,Onondaga County,NY,290079
06107,Tulare County,CA,365399
12117,Seminole County,FL,405396
25013,Hampden County,MA,357811
34005,Burlington County,NJ,426786
51810,Virginia Beach City,VA,430158
22033,East Baton Rouge Parish,LA,236339
42133,York County,PA,312072
06095,Solano County,CA,577335
06083,Santa Barbara County,CA,1003268
22051,Jefferson Parish,LA,274691
06053,Monterey County,CA,852464
27037,Dakota County,MN,400941
39095,Lucas County,OH,178884
12115,Sarasota County,FL,399679
42011,Berks County,PA,315430
04021,Pinal County,AZ,363614
33011,Hillsborough County,NH,528960
48061,Cameron County,TX,207321
41005,Clackamas County,OR,619616
45079,Richland County,SC,245186
01097,Mobile County,AL,198520
51107,Loudoun County,VA,799573
26049,Genesee County,MI,199854
55133,Waukesha County,WI,512586
45019,Charleston County,SC,617997
29183,Saint Charles County,MO,376365
06061,Placer County,CA,693033
36071,Orange County,NY,470558
05119,Pulaski County,AR,211868
12081,Manatee County,FL,409772
39017,Butler County,OH,318289
34021,Mercer County,NJ,450985
22071,Orleans Parish,LA,245324
01089,Madison County,AL,314800
18003,Allen County,IN,258784
37067,Forsyth County,NC,286414
41039,Lane County,OR,461511
12097,Osceola County,FL,363472
12069,Lake County,FL,363142
39151,Stark County,OH,221253
12021,Collier County,FL,553842
26161,Washtenaw County,MI,423247
42077,Lehigh County,PA,368933
12083,Marion County,FL,272792
48039,Brazoria County,TX,326748
48027,Bell County,TX,251808
47065,Hamilton County,TN,355721
27003,Anoka County,MN,377642
51041,Chesterfield County,VA,416117
49011,Davis County,UT,561231
42129,Westmoreland County,PA,216792
08069,Larimer County,CO,554631
48355,Nueces County,TX,228249
08035,Douglas County,CO,705114
48167,Galveston County,TX,321294
45051,Horry County,SC,321007
41047,Marion County,OR,447829
34035,Somerset County,NJ,672427
18057,Hamilton County,IN,470542
36087,Rockland County,NY,767885
47149,Rutherford County,TN,419031
37051,Cumberland County,NC,231978
51087,Henrico County,VA,403549
24027,Howard County,MD,639961
08013,Boulder County,CO,718716
12111,Saint Lucie County,FL,373341
42079,Luzerne County,PA,228833
45083,Spartanburg County,SC,278707
08123,Weld County,CO,495359
21067,Fayette County,KY,334562
